@relation iris-weka.filters.supervised.instance.SMOTE-C1-K5-P300.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P300.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P300.0-S1-weka.filters.supervised.instance.Resample-B0.0-S42-Z100.0-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F3

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
6.755032,3,5.215646,2.174729,Iris-virginica
5.980525,2.313229,5.046137,1.872293,Iris-virginica
6.3,3.340744,5.985506,2.434113,Iris-virginica
6.673209,3,5.2,2.081004,Iris-virginica
6.830381,3.096364,5.134401,2.3,Iris-virginica
6.4,2.8,5.6,2.151919,Iris-virginica
6.746638,3.1,5.470077,2.152632,Iris-virginica
6.772596,3.051706,5.259098,2.188008,Iris-virginica
7.33861,2.921626,6.02828,1.758384,Iris-virginica
5.987192,2.963779,5.009956,1.899515,Iris-virginica
6.440969,3.139102,5.286996,2.3,Iris-virginica
6.494835,3.3,5.952198,2.5,Iris-virginica
7.1,3,5.9,2.1,Iris-virginica
6.365633,3.295114,5.52104,2.327646,Iris-virginica
6.003369,2.676414,5.010038,1.5,Iris-virginica
6,3,4.8,1.8,Iris-virginica
7.683631,3,6.281251,2.101752,Iris-virginica
6.7,2.5,5.8,1.8,Iris-virginica
6.722032,3.083387,5.127796,2.007456,Iris-virginica
7.711717,3.05254,6.21745,2.146471,Iris-virginica
6.5,3,5.5,1.8,Iris-virginica
6.442329,3.186893,5.116819,1.835141,Iris-virginica
6.936628,3.2,5.975942,2.056314,Iris-virginica
7.423655,2.921081,6.390298,2.038609,Iris-virginica
6.9,3.130797,5.525274,2.281104,Iris-virginica
7.305689,2.89458,6.321123,1.925438,Iris-virginica
6.5,3,5.2,2,Iris-virginica
5.605687,2.632048,4.9368,2,Iris-virginica
6.61316,3.206938,5.72679,2.130609,Iris-virginica
7.406147,2.959863,6.387628,2.062933,Iris-virginica
6.3,2.7,4.9,1.8,Iris-virginica
5.928565,2.866702,4.976743,1.85621,Iris-virginica
6.538071,2.692551,5.605876,2.145303,Iris-virginica
6.722032,3.083387,5.127796,2.007456,Iris-virginica
7.439661,3,6.098817,2.118377,Iris-virginica
6.755032,3,5.215646,2.174729,Iris-virginica
6.1,2.6,5.6,1.4,Iris-virginica
6.055228,3,4.853439,1.8,Iris-virginica
6.414097,2.970769,5.458925,1.83947,Iris-virginica
6.498462,2.928201,5.751504,2.119884,Iris-virginica
7.4,2.8,6.1,1.9,Iris-virginica
6.3,2.544498,5.040775,1.778351,Iris-virginica
6.4,2.7,5.3,1.9,Iris-virginica
5.81098,2.213787,5.074692,1.75453,Iris-virginica
6.772596,3.051706,5.259098,2.188008,Iris-virginica
6.4,2.8,5.6,2.193013,Iris-virginica
6.442329,3.186893,5.116819,1.835141,Iris-virginica
7.7,2.998787,6.157593,2.271064,Iris-virginica
6.767733,3.153816,5.595735,2.1,Iris-virginica
5.980525,2.313229,5.046137,1.872293,Iris-virginica
6.4,2.8,5.6,2.193013,Iris-virginica
5.882236,2.540796,5.03492,1.9,Iris-virginica
6.8,3,5.5,2.1,Iris-virginica
6.4,3.2,5.3,2.3,Iris-virginica
5.9,3,5.1,1.8,Iris-virginica
6.450855,2.914243,5.738381,2.2,Iris-virginica
6.710306,3.173497,5.629076,2.341735,Iris-virginica
6.21643,3.214022,5.247025,2.237622,Iris-virginica
7.78697,3.042346,6.317458,2.101554,Iris-virginica
5.832395,2.740567,5.1,1.812309,Iris-virginica
6.8,3.2,5.9,2.3,Iris-virginica
6.536708,3.191061,5.772206,2.165909,Iris-virginica
5.67119,2.734406,4.903375,2,Iris-virginica
